MUNICIPIO,REDE,IDEB_2017
Nossa Senhora dos Remédios,Estadual,3.1
Nossa Senhora dos Remédios,Municipal,-
Nossa Senhora dos Remédios,Pública,2.7
Novo Oriente do Piauí,Pública,3.7
Novo Oriente do Piauí,Estadual,3.7
Novo Santo Antônio,Pública,2.5
Novo Santo Antônio,Estadual,2.5
Oeiras,Federal,4.4
Oeiras,Estadual,3.7
Oeiras,Pública,3.7
Olho D'Água do Piauí,Estadual,3.5
Olho D'Água do Piauí,Pública,3.5
Padre Marcos,Estadual,3.4
Padre Marcos,Pública,3.4
Paes Landim,Estadual,2.5
Paes Landim,Pública,2.5
Pajeú do Piauí,Estadual,3.9
Pajeú do Piauí,Pública,3.9
Palmeira do Piauí,Pública,3.5
Palmeira do Piauí,Estadual,3.5
Palmeirais,Estadual,2.9
Palmeirais,Pública,2.9
Paquetá,Pública,3.1
Paquetá,Estadual,3.1
Parnaguá,Pública,2.1
Parnaguá,Estadual,2.1
Parnaíba,Pública,3.3
Parnaíba,Estadual,3
Parnaíba,Federal,5.2
Passagem Franca do Piauí,Estadual,3.6
Passagem Franca do Piauí,Pública,3.6
Patos do Piauí,Estadual,3.6
Patos do Piauí,Pública,3.6
Pau D'Arco do Piauí,Estadual,3.2
Pau D'Arco do Piauí,Pública,3.2
Paulistana,Pública,3.3
Paulistana,Estadual,2.8
Paulistana,Federal,5
Pavussu,Estadual,3.4
Pavussu,Pública,3.4
Pedro II,Federal,4.3
Pedro II,Pública,3.4
Pedro II,Estadual,3.3
Pedro Laurentino,Pública,3
Pedro Laurentino,Estadual,3
Nova Santa Rita,Pública,3.4
Nova Santa Rita,Estadual,3.4
Picos,Estadual,3.3
Picos,Federal,-
Picos,Pública,3.7
Pimenteiras,Pública,3.3
Pimenteiras,Estadual,3.3
Pio IX,Estadual,2.9
Pio IX,Pública,2.9
Piracuruca,Pública,3.2
Piracuruca,Estadual,3.2
Piripiri,Estadual,3.5
Piripiri,Pública,3.7
Piripiri,Federal,4.9
Porto,Pública,2.7
Porto,Estadual,2.7
Porto Alegre do Piauí,Estadual,3.4
Porto Alegre do Piauí,Pública,3.4
Prata do Piauí,Estadual,3
Prata do Piauí,Pública,3
Queimada Nova,Pública,3.4
Queimada Nova,Estadual,3.4
Redenção do Gurguéia,Estadual,3.1
Redenção do Gurguéia,Pública,3.1
Regeneração,Pública,2.8
Regeneração,Estadual,2.8
Riacho Frio,Pública,2.2
Riacho Frio,Estadual,2.2
Ribeira do Piauí,Pública,2.9
Ribeira do Piauí,Estadual,2.9
Ribeiro Gonçalves,Estadual,3
Ribeiro Gonçalves,Pública,3
Rio Grande do Piauí,Pública,2.5
Rio Grande do Piauí,Estadual,2.5
Santa Cruz do Piauí,Pública,4.4
Santa Cruz do Piauí,Estadual,4.4
Santa Cruz dos Milagres,Pública,2.6
Santa Cruz dos Milagres,Estadual,2.6
Santa Filomena,Estadual,2.9
Santa Filomena,Pública,2.9
Santa Luz,Estadual,4.2
Santa Luz,Pública,4.2
Santana do Piauí,Pública,3.2
Santana do Piauí,Estadual,3.2
Santa Rosa do Piauí,Pública,3.8
Santa Rosa do Piauí,Estadual,3.8
Santo Antônio de Lisboa,Estadual,3.4
Santo Antônio de Lisboa,Pública,3.4
Santo Antônio dos Milagres,Pública,3.3
Santo Antônio dos Milagres,Estadual,3.3
Santo Inácio do Piauí,Estadual,2.2
Santo Inácio do Piauí,Pública,2.2
São Braz do Piauí,Pública,3.1
São Braz do Piauí,Estadual,3.1
São Félix do Piauí,Estadual,4.2
São Félix do Piauí,Pública,4.2
São Francisco de Assis do Piauí,Estadual,2.3
São Francisco de Assis do Piauí,Pública,2.3
São Francisco do Piauí,Pública,3.8
São Francisco do Piauí,Estadual,3.8
São Gonçalo do Gurguéia,Estadual,2.7
São Gonçalo do Gurguéia,Pública,2.7
São Gonçalo do Piauí,Pública,2.8
São Gonçalo do Piauí,Estadual,2.8
São João da Canabrava,Pública,3.6
São João da Canabrava,Estadual,3.6
São João da Fronteira,Estadual,4.1
São João da Fronteira,Pública,4.1
São João da Serra,Pública,3.8
São João da Serra,Estadual,3.8
São João da Varjota,Pública,3.5
São João da Varjota,Estadual,3.5
São João do Arraial,Estadual,2.8
São João do Arraial,Pública,2.8
São João do Piauí,Estadual,2.5
São João do Piauí,Federal,4.5
São João do Piauí,Pública,2.8
São José do Divino,Estadual,3.9
São José do Divino,Pública,3.9
São José do Peixe,Estadual,3.4
São José do Peixe,Pública,3.4
São José do Piauí,Pública,3.4
São José do Piauí,Estadual,3.4
São Julião,Estadual,3.5
São Julião,Pública,3.5
São Lourenço do Piauí,Estadual,3.4
São Lourenço do Piauí,Pública,3.4
São Luis do Piauí,Estadual,3.5
São Luis do Piauí,Pública,3.5
São Miguel da Baixa Grande,Estadual,4.2
São Miguel da Baixa Grande,Pública,4.2
São Miguel do Fidalgo,Pública,3.5
São Miguel do Fidalgo,Estadual,3.5
São Miguel do Tapuio,Pública,3.2
São Miguel do Tapuio,Estadual,3.2
São Pedro do Piauí,Estadual,2.6
São Pedro do Piauí,Pública,2.6
São Raimundo Nonato,Pública,3.3
São Raimundo Nonato,Federal,6
São Raimundo Nonato,Estadual,2.9
Sebastião Barros,Estadual,2.4
Sebastião Barros,Pública,2.4
Sebastião Leal,Estadual,3
Sebastião Leal,Pública,3
Sigefredo Pacheco,Estadual,3.1
Sigefredo Pacheco,Pública,3.1
Simões,Estadual,3.3
Simões,Pública,3.3
Simplício Mendes,Pública,3.4
Simplício Mendes,Estadual,3.4
Socorro do Piauí,Pública,3.4
Socorro do Piauí,Estadual,3.4
Sussuapara,Pública,3.4
Sussuapara,Estadual,3.4
Tamboril do Piauí,Pública,3.1
Tamboril do Piauí,Estadual,3.1
Tanque do Piauí,Pública,4.3
Tanque do Piauí,Estadual,4.3
Teresina,Estadual,3.1
Teresina,Federal,5.4
Teresina,Pública,3.3
União,Estadual,3.4
União,Pública,3.4
Uruçuí,Federal,-
Uruçuí,Pública,3.2
Uruçuí,Estadual,2.8
Valença do Piauí,Pública,3.6
Valença do Piauí,Estadual,3.2
Valença do Piauí,Federal,4.8
Várzea Branca,Pública,3.3
Várzea Branca,Estadual,3.3
Vera Mendes,Estadual,2.8
Vera Mendes,Pública,2.8
Vila Nova do Piauí,Pública,3.6
Vila Nova do Piauí,Estadual,3.6
Wall Ferraz,Estadual,3.7
Wall Ferraz,Pública,3.7
Abaiara,Pública,3.9
Abaiara,Estadual,3.9
Acarape,Pública,3.5
Acarape,Estadual,3.5
Acaraú,Estadual,4.2
Acaraú,Pública,4.2
Acopiara,Pública,3.6
Acopiara,Estadual,3.6
Aiuaba,Pública,4
Aiuaba,Estadual,4
Alcântaras,Pública,3.6
Alcântaras,Estadual,3.6
Altaneira,Pública,3
Altaneira,Estadual,3
Alto Santo,Pública,3.4
Alto Santo,Estadual,3.4
Amontada,Estadual,3.6
Amontada,Pública,3.6
Antonina do Norte,Pública,3.6
Antonina do Norte,Estadual,3.6
Apuiarés,Estadual,3.6
Apuiarés,Pública,3.6
Aquiraz,Pública,3.8
Aquiraz,Estadual,3.8
Aracati,Pública,3.8
Aracati,Estadual,3.8
Aracoiaba,Pública,4.2
Aracoiaba,Estadual,4.2
Ararendá,Estadual,5.3
Ararendá,Pública,5.3
Araripe,Estadual,4.1
Araripe,Pública,4.1
Aratuba,Pública,3.2
Aratuba,Estadual,3.2
Arneiroz,Pública,4.4
Arneiroz,Estadual,4.4
Assaré,Pública,3.8
Assaré,Estadual,3.8
Aurora,Pública,4.5
Aurora,Estadual,4.5
Baixio,Estadual,3.9
Baixio,Pública,3.9
Banabuiú,Pública,3.6
Banabuiú,Estadual,3.6
Barbalha,Pública,3.9
Barbalha,Estadual,3.9
Barreira,Estadual,2.9
Barreira,Pública,2.9
Barro,Pública,4.2
Barro,Estadual,4.2
Barroquinha,Pública,3.8
Barroquinha,Estadual,3.8
Baturité,Estadual,3.4
Baturité,Pública,3.4
Beberibe,Pública,4.5
Beberibe,Estadual,4.5
Bela Cruz,Estadual,4.6
Bela Cruz,Pública,4.6
Boa Viagem,Pública,3.8
Boa Viagem,Estadual,3.8
Brejo Santo,Pública,3.6
Brejo Santo,Estadual,3.6
Camocim,Estadual,4
Camocim,Pública,4
Campos Sales,Estadual,4.4
Campos Sales,Pública,4.4
Canindé,Pública,4.2
Canindé,Estadual,4.3
Capistrano,Estadual,3.2
Capistrano,Pública,3.2
Caridade,Estadual,4
Caridade,Pública,4
Cariré,Pública,4.4
Cariré,Estadual,4.4
Caririaçu,Pública,3.9
Caririaçu,Estadual,3.9
Cariús,Estadual,4.3
Cariús,Pública,4.3
Carnaubal,Estadual,4.2
Carnaubal,Pública,4.2
Cascavel,Pública,3.9
Cascavel,Estadual,3.9
Catarina,Estadual,3.8
Catarina,Pública,3.8
Catunda,Estadual,3.4
Catunda,Pública,3.4
Caucaia,Estadual,3.6
Caucaia,Federal,4
Caucaia,Pública,3.6
Cedro,Estadual,3.6
Cedro,Pública,3.6
Chaval,Estadual,3.5
Chaval,Pública,3.5
Choró,Pública,3.3
Choró,Estadual,3.3
Chorozinho,Estadual,4
Chorozinho,Pública,4
Coreaú,Estadual,3.7
Coreaú,Pública,3.7
Crateús,Estadual,3.8
Crateús,Pública,3.9
Crato,Pública,3.9
Crato,Estadual,3.9
Crato,Federal,3.9
Croatá,Pública,3.7
Croatá,Estadual,3.7
Cruz,Estadual,4.3
Cruz,Pública,4.3
Deputado Irapuan Pinheiro,Estadual,3.6
Deputado Irapuan Pinheiro,Pública,3.6
Ererê,Pública,3.8
Ererê,Estadual,3.8
Eusébio,Estadual,3.4
Eusébio,Pública,3.4
Farias Brito,Pública,3.8
Farias Brito,Estadual,3.8
Forquilha,Pública,4.2
Forquilha,Estadual,4.2
Fortaleza,Pública,4
Fortaleza,Estadual,4
Fortaleza,Federal,-
Fortim,Pública,3.3
Fortim,Estadual,3.3
Frecheirinha,Pública,4.1
Frecheirinha,Estadual,4.1
General Sampaio,Estadual,3.6
General Sampaio,Pública,3.6
Graça,Estadual,3.7
Graça,Pública,3.7
Granja,Pública,3.7
Granja,Estadual,3.7
Granjeiro,Pública,3.9
Granjeiro,Estadual,3.9
Groaíras,Estadual,4.4
Groaíras,Pública,4.4
Guaiúba,Estadual,3.6
Guaiúba,Pública,3.6
Guaraciaba do Norte,Pública,3.9
Guaraciaba do Norte,Estadual,3.9
Guaramiranga,Estadual,4.1
Guaramiranga,Pública,4.1
Hidrolândia,Pública,4.5
Hidrolândia,Estadual,4.5
Horizonte,Estadual,3.8
Horizonte,Pública,3.8
Ibaretama,Pública,3.7
Ibaretama,Estadual,3.7
Ibiapina,Pública,4
Ibiapina,Estadual,4
Ibicuitinga,Pública,3.9
Ibicuitinga,Estadual,3.9
Icapuí,Pública,3.6
Icapuí,Estadual,3.6
Icó,Pública,3.9
Icó,Estadual,3.9
Iguatu,Estadual,4
Iguatu,Federal,-
Iguatu,Pública,4
Independência,Pública,4.2
Independência,Estadual,4.2
Ipaporanga,Estadual,3.7
Ipaporanga,Pública,3.7
Ipaumirim,Pública,3.6
Ipaumirim,Estadual,3.6
Ipu,Estadual,4.6
Ipu,Pública,4.6
Ipueiras,Pública,3.8
Ipueiras,Estadual,3.8
Iracema,Estadual,4.2
Iracema,Pública,4.2
Irauçuba,Pública,3.9
Irauçuba,Estadual,3.9
Itaiçaba,Estadual,4.3
Itaiçaba,Pública,4.3
Itaitinga,Pública,3.7
Itaitinga,Estadual,3.7
Itapajé,Estadual,4.2
Itapajé,Pública,4.2
Itapipoca,Pública,4.4
Itapipoca,Estadual,4.4
Itapiúna,Pública,3.8
Itapiúna,Estadual,3.8
Itarema,Pública,3.8
Itarema,Estadual,3.8
Itatira,Pública,3.7
Itatira,Estadual,3.7
Jaguaretama,Pública,3.6
Jaguaretama,Estadual,3.6
Jaguaribara,Pública,4
Jaguaribara,Estadual,4
Jaguaribe,Pública,4.2
Jaguaribe,Estadual,4.2
Jaguaruana,Pública,4.3
Jaguaruana,Estadual,4.3
Jardim,Pública,4.1
Jardim,Estadual,4.1
Jati,Pública,3.9
Jati,Estadual,3.9
Jijoca de Jericoacoara,Pública,4.5
Jijoca de Jericoacoara,Estadual,4.5
Juazeiro do Norte,Pública,4
Juazeiro do Norte,Estadual,4
Jucás,Pública,4.2
Jucás,Estadual,4.2
Lavras da Mangabeira,Estadual,3.5
Lavras da Mangabeira,Pública,3.5
Limoeiro do Norte,Estadual,3.8
Limoeiro do Norte,Pública,3.8
Madalena,Estadual,3.6
Madalena,Pública,3.6
Maracanaú,Pública,3.6
Maracanaú,Estadual,3.6
Maranguape,Pública,3.8
Maranguape,Estadual,3.8
Marco,Pública,4.1
Marco,Estadual,4.1
Martinópole,Pública,3.8
Martinópole,Estadual,3.8
Massapê,Estadual,3.9
Massapê,Pública,3.9
Mauriti,Estadual,3.9
Mauriti,Pública,3.9
Meruoca,Pública,4.1
Meruoca,Estadual,4.1
Milagres,Estadual,4.6
Milagres,Pública,4.6
Milhã,Estadual,3.7
Milhã,Pública,3.7
Miraíma,Pública,3.5
Miraíma,Estadual,3.5
Missão Velha,Pública,3.4
Missão Velha,Estadual,3.4
Mombaça,Pública,4.2
Mombaça,Estadual,4.2
Monsenhor Tabosa,Estadual,3.8
Monsenhor Tabosa,Pública,3.8
Morada Nova,Pública,3.7
Morada Nova,Estadual,3.7
Moraújo,Pública,4.2
Moraújo,Estadual,4.2
Morrinhos,Pública,3.9
Morrinhos,Estadual,3.9
Mucambo,Estadual,3.8
Mucambo,Pública,3.8
Mulungu,Pública,4.1
Mulungu,Estadual,4.1
Nova Olinda,Estadual,4.2
Nova Olinda,Pública,4.2
Nova Russas,Pública,4
Nova Russas,Estadual,4
Novo Oriente,Pública,4.4
Novo Oriente,Estadual,4.4
Ocara,Pública,3.5
Ocara,Estadual,3.5
Orós,Estadual,3.7
Orós,Pública,3.7
Pacajus,Estadual,4
Pacajus,Pública,4
Pacatuba,Estadual,3.9
Pacatuba,Pública,3.9
Pacoti,Pública,4.8
Pacoti,Estadual,4.8
Pacujá,Pública,5.2
Pacujá,Estadual,5.2
Palhano,Pública,3.6
Palhano,Estadual,3.6
Palmácia,Pública,4.2
Palmácia,Estadual,4.2
Paracuru,Pública,4.3
Paracuru,Estadual,4.3
Paraipaba,Estadual,3.6
Paraipaba,Pública,3.6
Parambu,Pública,4
Parambu,Estadual,4
Paramoti,Pública,3.6
Paramoti,Estadual,3.6
Pedra Branca,Pública,4.6
Pedra Branca,Estadual,4.6
Penaforte,Estadual,3.8
Penaforte,Pública,3.8
Pentecoste,Pública,3.9
Pentecoste,Estadual,3.9
Pereiro,Pública,4.7
Pereiro,Estadual,4.7
Pindoretama,Estadual,3.3
Pindoretama,Pública,3.3
Piquet Carneiro,Estadual,3.3
Piquet Carneiro,Pública,3.3
Pires Ferreira,Estadual,3.7
Pires Ferreira,Pública,3.7
Poranga,Estadual,3.8
Poranga,Pública,3.8
Porteiras,Estadual,3.2
Porteiras,Pública,3.2
Potengi,Estadual,4.1
Potengi,Pública,4.1
Potiretama,Estadual,4.2
Potiretama,Pública,4.2
Quiterianópolis,Estadual,3.7
Quiterianópolis,Pública,3.7
Quixadá,Estadual,3.4
Quixadá,Pública,3.4
Quixelô,Pública,4
Quixelô,Estadual,4
Quixeramobim,Pública,3.9
Quixeramobim,Estadual,3.9
Quixeré,Estadual,3.6
Quixeré,Pública,3.6
Redenção,Pública,3.8
Redenção,Estadual,3.8
Reriutaba,Estadual,4.5
Reriutaba,Pública,4.5
Russas,Estadual,4.3
Russas,Pública,4.3
Saboeiro,Pública,4
Saboeiro,Estadual,4
Salitre,Pública,3.4
Salitre,Estadual,3.4
Santana do Acaraú,Pública,4.3
Santana do Acaraú,Estadual,4.3
Santana do Cariri,Pública,3.2
Santana do Cariri,Estadual,3.2
Santa Quitéria,Estadual,4.2
Santa Quitéria,Pública,4.2
São Benedito,Pública,4.5
São Benedito,Estadual,4.5
São Gonçalo do Amarante,Pública,3.8
São Gonçalo do Amarante,Estadual,3.8
São João do Jaguaribe,Pública,4.2
São João do Jaguaribe,Estadual,4.2
São Luís do Curu,Estadual,3.8
São Luís do Curu,Pública,3.8
Senador Pompeu,Estadual,4.3
Senador Pompeu,Pública,4.3
Senador Sá,Estadual,3.2
Senador Sá,Pública,3.2
Sobral,Estadual,4.3
Sobral,Pública,4.3
Solonópole,Estadual,3.5
Solonópole,Pública,3.5
Tabuleiro do Norte,Pública,3.9
Tabuleiro do Norte,Estadual,3.9
Tamboril,Pública,3.9
Tamboril,Estadual,3.9
Tarrafas,Estadual,4
Tarrafas,Pública,4
Tauá,Pública,3.9
Tauá,Estadual,3.9
Tejuçuoca,Estadual,4.1
Tejuçuoca,Pública,4.1
Tianguá,Estadual,4.1
Tianguá,Pública,4.1
Trairi,Estadual,4
Trairi,Pública,4
Tururu,Estadual,3.7
Tururu,Pública,3.7
Ubajara,Estadual,4.5
Ubajara,Pública,4.5
Umari,Pública,3.5
Umari,Estadual,3.5
Umirim,Pública,3.4
Umirim,Estadual,3.5
Uruburetama,Pública,4.5
Uruburetama,Estadual,4.5
Uruoca,Estadual,3.4
Uruoca,Pública,3.4
Varjota,Estadual,3.8
Varjota,Pública,3.8
Várzea Alegre,Estadual,3.8
Várzea Alegre,Pública,3.8
Viçosa do Ceará,Estadual,3.9
Viçosa do Ceará,Pública,3.9
Acari,Estadual,3.6
Acari,Pública,3.6
Açu,Estadual,-
Açu,Pública,-
Afonso Bezerra,Estadual,2.2
Afonso Bezerra,Pública,2.2
Água Nova,Pública,3.1
Água Nova,Estadual,3.1
Alexandria,Pública,3.1
Alexandria,Estadual,3.1
Almino Afonso,Estadual,3.2
Almino Afonso,Pública,3.2
Alto do Rodrigues,Estadual,-
Alto do Rodrigues,Pública,-
Angicos,Pública,2.4
Angicos,Estadual,2.4
Antônio Martins,Pública,2.6
Antônio Martins,Estadual,2.6
Apodi,Pública,3.8
Apodi,Federal,-
Apodi,Estadual,2.9
Areia Branca,Estadual,2.8
Areia Branca,Pública,2.8
Arês,Estadual,2.6
Arês,Pública,2.6
Augusto Severo,Pública,2.7
Augusto Severo,Estadual,2.7
Baía Formosa,Pública,2.7
Baía Formosa,Estadual,2.7
Baraúna,Estadual,2.5
Baraúna,Pública,2.5
Barcelona,Estadual,3
Barcelona,Pública,3
Bento Fernandes,Pública,2.4
Bento Fernandes,Estadual,2.4
Bodó,Estadual,2.2
Bodó,Pública,2.2
Bom Jesus,Estadual,3
Bom Jesus,Pública,3
Brejinho,Pública,2.6
Brejinho,Estadual,2.6
Caiçara do Rio do Vento,Pública,2.3
Caiçara do Rio do Vento,Estadual,2.3
Caicó,Estadual,3.2
Caicó,Federal,5.6
Caicó,Pública,3.8
Campo Redondo,Pública,2.7
Campo Redondo,Estadual,2.7
Canguaretama,Federal,5.2
Canguaretama,Estadual,-
Canguaretama,Pública,-
Caraúbas,Pública,3.3
Caraúbas,Estadual,3.3
Carnaúba dos Dantas,Estadual,2.9
Carnaúba dos Dantas,Pública,2.9
Carnaubais,Estadual,2.8
Carnaubais,Pública,2.8
Ceará-Mirim,Federal,5.2
Ceará-Mirim,Pública,2.6
Ceará-Mirim,Estadual,2.2
Cerro Corá,Pública,2.9
Cerro Corá,Estadual,2.9
Coronel Ezequiel,Estadual,3.1
Coronel Ezequiel,Pública,3.1
Coronel João Pessoa,Estadual,3.3
Coronel João Pessoa,Pública,3.3
Cruzeta,Estadual,3
Cruzeta,Pública,3
Currais Novos,Estadual,3.4
Currais Novos,Federal,5.9
Currais Novos,Pública,4.1
Doutor Severiano,Pública,3.4
Doutor Severiano,Estadual,3.4
Parnamirim,Pública,3.4
Parnamirim,Federal,5.3
Parnamirim,Estadual,3.1
Encanto,Pública,3.2
Encanto,Estadual,3.2
Equador,Estadual,2.8
Equador,Pública,2.8
Espírito Santo,Estadual,-
Espírito Santo,Pública,-
Extremoz,Estadual,3.2
Extremoz,Pública,3.2
Felipe Guerra,Estadual,3.4
Felipe Guerra,Pública,3.4
Florânia,Pública,2.9
Florânia,Estadual,2.9
Francisco Dantas,Pública,3.3
Francisco Dantas,Estadual,3.3
Frutuoso Gomes,Estadual,2.4
Frutuoso Gomes,Pública,2.4
Galinhos,Estadual,3.1
Galinhos,Pública,3.1
Goianinha,Estadual,2.3
Goianinha,Pública,2.3
Governador Dix-Sept Rosado,Pública,3.2
Governador Dix-Sept Rosado,Estadual,3.2
Grossos,Estadual,-
Grossos,Pública,-
Guamaré,Estadual,2.8
Guamaré,Pública,2.8
Ielmo Marinho,Pública,2.5
Ielmo Marinho,Estadual,2.5
Ipanguaçu,Pública,3.8
Ipanguaçu,Estadual,2.3
Ipanguaçu,Federal,5.2
Ipueira,Pública,3.3
Ipueira,Estadual,3.3
Itajá,Pública,2.3
Itajá,Estadual,2.3
Itaú,Pública,2.9
Itaú,Estadual,2.9
Jaçanã,Estadual,2.8
Jaçanã,Pública,2.8
Jandaíra,Pública,2.2
Jandaíra,Estadual,2.2
Janduís,Estadual,2
Janduís,Pública,2
Januário Cicco,Pública,2.5
Januário Cicco,Estadual,2.5
Japi,Estadual,2.3
Japi,Pública,2.3
Jardim de Angicos,Pública,2.2
Jardim de Angicos,Estadual,2.2
Jardim de Piranhas,Estadual,2.6
Jardim de Piranhas,Pública,2.6
Jardim do Seridó,Pública,3.9
Jardim do Seridó,Estadual,3.9
João Câmara,Estadual,2.7
João Câmara,Federal,-
João Câmara,Pública,-
João Dias,Estadual,3.3
João Dias,Pública,3.3
José da Penha,Pública,2.9
José da Penha,Estadual,2.9
Jucurutu,Pública,2.7
Jucurutu,Estadual,2.7
Jundiá,Pública,2.3
Jundiá,Estadual,2.3
Lagoa d'Anta,Pública,2.6
Lagoa d'Anta,Estadual,2.6
Lagoa de Pedras,Pública,2.8
Lagoa de Pedras,Estadual,2.8
Lagoa de Velhos,Estadual,1.9
Lagoa de Velhos,Pública,1.9
Lagoa Nova,Pública,2.9
Lagoa Nova,Estadual,2.9
Lagoa Salgada,Pública,3.5
Lagoa Salgada,Estadual,3.5
Lajes,Pública,-
Lajes,Estadual,2.2
Lajes Pintadas,Pública,2.6
Lajes Pintadas,Estadual,2.6
Lucrécia,Pública,-
Lucrécia,Estadual,-
Luís Gomes,Estadual,2.9
Luís Gomes,Pública,2.9
Macaíba,Estadual,2.7
Macaíba,Pública,3.1
Macaíba,Federal,-
Macau,Estadual,-
Macau,Pública,-
Macau,Federal,-
Major Sales,Pública,3
Major Sales,Estadual,3
Marcelino Vieira,Estadual,3.6
Marcelino Vieira,Pública,3.6
Martins,Estadual,2.6
Martins,Pública,2.6
Maxaranguape,Pública,-
Maxaranguape,Estadual,-
Messias Targino,Pública,2.5
Messias Targino,Estadual,2.5
Montanhas,Pública,2.4
Montanhas,Estadual,2.4
Monte Alegre,Pública,2.2
Monte Alegre,Estadual,2.2
Monte das Gameleiras,Pública,2.1
Monte das Gameleiras,Estadual,2.1
Mossoró,Pública,3.2
Mossoró,Federal,6.4
Mossoró,Estadual,2.9
Natal,Estadual,-
Natal,Federal,5.5
Natal,Pública,-
Nísia Floresta,Pública,3.3
Nísia Floresta,Estadual,3.3
Nova Cruz,Pública,3.6
Nova Cruz,Estadual,2.4
Nova Cruz,Federal,5.4
Olho d'Água do Borges,Estadual,-
Olho d'Água do Borges,Pública,-
Ouro Branco,Pública,3.4
Ouro Branco,Estadual,3.4
Paraná,Estadual,2.6
Paraná,Pública,2.6
Paraú,Pública,1.7
Paraú,Estadual,1.7
Parazinho,Pública,3.1
Parazinho,Estadual,3.1
Parelhas,Estadual,3.9
Parelhas,Pública,4.4
Parelhas,Federal,5.7
Rio do Fogo,Pública,-
Rio do Fogo,Estadual,-
Passa e Fica,Pública,2.8
Passa e Fica,Estadual,2.8
Passagem,Pública,2.4
Passagem,Estadual,2.4
Patu,Pública,2.7
Patu,Estadual,2.7
Santa Maria,Pública,-
Santa Maria,Estadual,-
Pau dos Ferros,Pública,4.3
Pau dos Ferros,Estadual,3
Pau dos Ferros,Federal,5.6
Pedra Grande,Pública,2.2
Pedra Grande,Estadual,2.2
Pedra Preta,Pública,2.7
Pedra Preta,Estadual,2.7
Pedro Avelino,Pública,-
Pedro Avelino,Estadual,-
Pedro Velho,Estadual,2.3
Pedro Velho,Pública,2.3
Pendências,Pública,2.1
Pendências,Estadual,2.1
Pilões,Estadual,3.3
Pilões,Pública,3.3
Poço Branco,Pública,2.7
Poço Branco,Estadual,2.7
Portalegre,Estadual,3.5
Portalegre,Pública,3.5
Porto do Mangue,Estadual,1.7
Porto do Mangue,Pública,1.7
Serra Caiada,Estadual,2.2
Serra Caiada,Pública,2.2
Pureza,Estadual,2.1
Pureza,Pública,2.1
Rafael Fernandes,Estadual,3.9
Rafael Fernandes,Pública,3.9
Rafael Godeiro,Pública,3.4
Rafael Godeiro,Estadual,3.4
Riacho da Cruz,Pública,3
Riacho da Cruz,Estadual,3
Riacho de Santana,Estadual,4.1
Riacho de Santana,Pública,4.1
Riachuelo,Estadual,2.7
Riachuelo,Pública,2.7
Rodolfo Fernandes,Pública,2.4
Rodolfo Fernandes,Estadual,2.4
Tibau,Pública,2.6
Tibau,Estadual,2.6
Ruy Barbosa,Estadual,2.8
Ruy Barbosa,Pública,2.8
Santa Cruz,Estadual,2.6
Santa Cruz,Pública,3.5
Santa Cruz,Federal,5.3
Santana do Matos,Estadual,3.1
Santana do Matos,Pública,3.1
Santana do Seridó,Pública,4
Santana do Seridó,Estadual,4
Santo Antônio,Pública,2.5
Santo Antônio,Estadual,2.5
São Bento do Norte,Pública,-
São Bento do Norte,Estadual,-
São Bento do Trairí,Estadual,3.2
São Bento do Trairí,Pública,3.2
São Fernando,Estadual,4
São Fernando,Pública,4
São Francisco do Oeste,Pública,3.8
São Francisco do Oeste,Estadual,3.8
São Gonçalo do Amarante,Pública,2.5
São Gonçalo do Amarante,Federal,5.7
São Gonçalo do Amarante,Estadual,1.9
São João do Sabugi,Pública,4.5
São João do Sabugi,Estadual,4.5
São José de Mipibu,Pública,2.4
São José de Mipibu,Estadual,2.4
São José do Campestre,Estadual,2.6
São José do Campestre,Pública,2.6
São José do Seridó,Estadual,3.4
São José do Seridó,Pública,3.4
São Miguel,Pública,3.1
São Miguel,Estadual,3.1
São Miguel do Gostoso,Estadual,-
São Miguel do Gostoso,Pública,-
São Paulo do Potengi,Pública,3.7
São Paulo do Potengi,Estadual,2.8
São Paulo do Potengi,Federal,5.4
São Pedro,Pública,2.5
São Pedro,Estadual,2.5
São Rafael,Pública,2.3
São Rafael,Estadual,2.3
São Tomé,Estadual,2.9
São Tomé,Pública,2.9
São Vicente,Estadual,3.3
São Vicente,Pública,3.3
Senador Elói de Souza,Estadual,2.9
Senador Elói de Souza,Pública,2.9
Senador Georgino Avelino,Pública,2.3
Senador Georgino Avelino,Estadual,2.3
Serra de São Bento,Pública,3.2
Serra de São Bento,Estadual,3.2
Serra do Mel,Pública,2.9
Serra do Mel,Estadual,2.9
Serra Negra do Norte,Pública,3.3
Serra Negra do Norte,Estadual,3.3
Serrinha,Estadual,-
Serrinha,Pública,-
Serrinha dos Pintos,Estadual,2.6
Serrinha dos Pintos,Pública,2.6
Severiano Melo,Estadual,3.3
Severiano Melo,Pública,3.3
Sítio Novo,Pública,-
Sítio Novo,Estadual,-
Taboleiro Grande,Estadual,4
Taboleiro Grande,Pública,4
Taipu,Pública,-
Taipu,Estadual,-
Tangará,Estadual,1.9
Tangará,Pública,1.9
Tenente Ananias,Pública,2.4
Tenente Ananias,Estadual,2.4
Tenente Laurentino Cruz,Pública,3.1
Tenente Laurentino Cruz,Estadual,3.1
Tibau do Sul,Pública,2
Tibau do Sul,Estadual,2
Timbaúba dos Batistas,Pública,3.8
