MUNICIPIO,REDE,IDEB_2017
Careiro,Pública,3.2
Careiro,Estadual,3.2
Careiro da Várzea,Pública,3.2
Careiro da Várzea,Estadual,3.2
Coari,Federal,4.1
Coari,Estadual,3
Coari,Pública,3.1
Codajás,Pública,3.1
Codajás,Estadual,3.1
Eirunepé,Estadual,3.1
Eirunepé,Pública,3.1
Eirunepé,Federal,4.1
Envira,Pública,3.8
Envira,Estadual,3.8
Fonte Boa,Pública,2.5
Fonte Boa,Estadual,2.5
Guajará,Pública,3.2
Guajará,Estadual,3.2
Humaitá,Estadual,3.3
Humaitá,Pública,3.4
Humaitá,Federal,3.8
Ipixuna,Pública,3
Ipixuna,Estadual,3
Iranduba,Pública,3.1
Iranduba,Estadual,3.1
Itacoatiara,Estadual,3.3
Itacoatiara,Pública,3.3
Itacoatiara,Federal,4.4
Itamarati,Pública,3.3
Itamarati,Estadual,3.3
Itapiranga,Estadual,3.2
Itapiranga,Pública,3.2
Japurá,Pública,2.4
Japurá,Estadual,2.4
Juruá,Estadual,2.7
Juruá,Pública,2.7
Jutaí,Estadual,2.8
Jutaí,Pública,2.8
Lábrea,Estadual,2.8
Lábrea,Pública,3
Lábrea,Federal,3.6
Manacapuru,Estadual,3.2
Manacapuru,Pública,3.2
Manaquiri,Pública,2.8
Manaquiri,Estadual,2.8
Manaus,Federal,-
Manaus,Pública,3.3
Manaus,Estadual,3.3
Manicoré,Estadual,3.1
Manicoré,Pública,3.1
Maraã,Pública,2.4
Maraã,Estadual,2.4
Maués,Federal,4.4
Maués,Pública,2.7
Maués,Estadual,2.5
Nhamundá,Pública,3.2
Nhamundá,Estadual,3.2
Nova Olinda do Norte,Estadual,2.5
Nova Olinda do Norte,Pública,2.5
Novo Airão,Pública,3.2
Novo Airão,Estadual,3.2
Novo Aripuanã,Estadual,3.2
Novo Aripuanã,Pública,3.2
Parintins,Pública,3.6
Parintins,Estadual,3.5
Parintins,Federal,4.1
Pauini,Estadual,2.6
Pauini,Pública,2.6
Presidente Figueiredo,Federal,3.7
Presidente Figueiredo,Pública,3.2
Presidente Figueiredo,Estadual,3.1
Rio Preto da Eva,Estadual,3
Rio Preto da Eva,Pública,3
Santa Isabel do Rio Negro,Estadual,3
Santa Isabel do Rio Negro,Pública,3
Santo Antônio do Içá,Estadual,2.9
Santo Antônio do Içá,Pública,2.9
São Gabriel da Cachoeira,Federal,4
São Gabriel da Cachoeira,Pública,3.1
São Gabriel da Cachoeira,Estadual,2.9
São Paulo de Olivença,Pública,2.8
São Paulo de Olivença,Estadual,2.8
São Sebastião do Uatumã,Pública,3
São Sebastião do Uatumã,Estadual,3
Silves,Estadual,2.8
Silves,Pública,2.8
Tabatinga,Estadual,2.7
Tabatinga,Federal,3.5
Tabatinga,Pública,2.8
Tapauá,Pública,3.7
Tapauá,Estadual,3.7
Tefé,Federal,5.5
Tefé,Pública,3.3
Tefé,Estadual,3.2
Tonantins,Estadual,3
Tonantins,Pública,3
Uarini,Pública,2.4
Uarini,Estadual,2.4
Urucará,Pública,2.9
Urucará,Estadual,2.9
Urucurituba,Estadual,3.2
Urucurituba,Pública,3.2
Amajari,Estadual,3.4
Amajari,Federal,-
Amajari,Pública,-
Alto Alegre,Pública,2.8
Alto Alegre,Estadual,2.8
Boa Vista,Pública,3.4
Boa Vista,Federal,-
Boa Vista,Estadual,3.3
Bonfim,Pública,3.1
Bonfim,Estadual,3.1
Cantá,Estadual,-
Cantá,Pública,-
Caracaraí,Estadual,3.6
Caracaraí,Pública,3.6
Caroebe,Estadual,3.2
Caroebe,Pública,3.2
Iracema,Estadual,2.8
Iracema,Pública,2.8
Mucajaí,Pública,3.1
Mucajaí,Estadual,3.1
Normandia,Pública,-
Normandia,Estadual,-
Pacaraima,Estadual,-
Pacaraima,Pública,-
Rorainópolis,Pública,3.1
Rorainópolis,Estadual,3.1
São João da Baliza,Estadual,3
São João da Baliza,Pública,3
São Luiz,Pública,3.8
São Luiz,Estadual,3.8
